Sample_ID,Country,Collection_year,Host_species,Age_group,Host_status,Lineage,cps.final,ST,adhP,pheS,atr,glnA,sdhA,glcK,tkt,aac(6')-aph(2''),ant(6-Ia),aph(3'-III),aadE,cat(pc194),catQ,ermA,ermB,ermT,lnuB,lnuC,lsaC,lsaE,mefA,msrD,tetB,tetL,tetM,tetW,tetO,tetS,alp1,alp2/3,alpha,hvgA,PI1,PI2A1,PI2A2,PI2B,rib,srr1,srr2
20280_6_178,Netherlands,1997,human,infant,invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
20280_8_144,Netherlands,2003,human,adult,invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
20280_8_163,Netherlands,2004,human,adult,invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,pos,pos,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
20402_3_132,Netherlands,2014,human,infant,invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
20402_3_77,Netherlands,2014,human,infant,invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
20416_6_143,Netherlands,2007,human,infant,invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
20416_6_171,Netherlands,2007,human,adult,invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
20416_8_80,Netherlands,2011,human,infant,invasive disease,10,VI,153,36,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
25292_2_45,United Kingdom,2014,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
25292_2_71,United Kingdom,2015,human,adult,carriage,10,Ia,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
25292_2_77,United Kingdom,2015,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
26077_6_153,United Kingdom,2015,human,adult,carriage,10,VI,1630,1,1,182,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
26077_6_265,United Kingdom,2015,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
26077_6_343,United Kingdom,2015,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
26189_8_191,United Kingdom,2015,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
26189_8_220,United Kingdom,2015,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
26189_8_235,United Kingdom,2015,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
26189_8_308,United Kingdom,2015,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
26189_8_335,United Kingdom,2015,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
26189_8_352,United Kingdom,2015,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
31663_7_116,China,2017,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
31663_7_174,China,2017,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
31663_7_191,China,2008,human,infant,invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
31663_7_192,China,2017,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
31663_7_199,China,2017,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
31663_7_243,China,2018,human,adult,carriage,10,VI,NF*,1,1,10*,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
31663_7_251,China,2018,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
31663_7_36,China,2016,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
31663_7_374,China,2016,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
31663_7_383,China,2016,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
31663_7_75,China,2016,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
31663_7_87,China,2016,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
32820_2_13,Israel,2017,human,infant,non-invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
32820_2_186,Israel,2016,human,infant,invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
32820_2_215,Israel,2017,human,infant,non-invasive disease,10,VI,1*,1,1,2,1,1,2*,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
32820_2_287,Israel,2016,human,adult,invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
32820_2_359,Israel,2017,human,infant,invasive disease,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
33515_4_21,Netherlands,2019,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
33515_4_33,Netherlands,2019,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
33515_4_340,Netherlands,2018,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
33515_4_348,Netherlands,2018,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
33515_4_43,Netherlands,2019,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
33515_4_61,Netherlands,2019,human,adult,carriage,10,VI,2,1,1,3,1,1,2,2,neg,neg,neg,pos,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,pos,neg,neg,neg,pos,pos,neg
33515_4_90,Netherlands,2019,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
33816_1_124,Netherlands,2018,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
33816_1_132,Netherlands,2018,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
33816_1_133,Netherlands,2019,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
33816_1_265,Netherlands,2018,human,adult,carriage,10,VI,1,1,1,2,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
33816_1_341,Netherlands,2018,human,adult,carriage,10,VI,1630,1,1,182,1,1,2,2,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg
